x	y	0	tf
viciniiy	vicinity	vicinity	True
rtalit	retaliated	retaliated	True
improvments	improvements	improvements	True
roprietary	proprietary	proprietary	True
publwishe	publisher	publisher	True
lightyears	light years	light years	True
maginr	imaginary	imaginery	False
eleminated	eliminated	eliminated	True
assassi	assassins	assassins	True
medcin	medicine	mediciny	False
distfnguisti	distinguishing	distinguishing	True
restauration	restoration	restaration	False
mnoevr	manoeuvred	manoeuvred	True
inspra	inseparable	inseparable	True
dispraginl	disparagingly	disparagingly	True
togeher	together	together	True
exreditronar	expeditionary	expeditionary	True
eranda	veranda	veranda	True
critiaiz	criticizing	criticizing	True
hlritate	heritage	heritage	True
mwneuversrble	maneuverable	maneuverable	True
anti aphrthe	anti apartheid	anti apartheid	True
rver the	over there	over there	True
nfgligig	negligible	negligible	True
collabrtiv	collaborative	collaborative	True
errois	terrorist	terrorist	True
rhythmic	rhythmic	rhythmic	True
imarily	primarily	drimarily	False
torpdedoe	torpedoes	torpedoes	True
dered	ordered	ordered	True
yhemistr	chemistry	chemistry	True
inseparabl	inseparable	inseparable	True
snrutinyu	scrutiny	scrutiny	True
bureaucra	bureaucracy	bureaucracy	True
hypocrasy	hypocrisy	hypocrisy	True
overeg	sovereign	sovereignty	False
businsss	business	business	True
ontroversie	controversies	controversies	True
ubsequently	subsequently	subsequently	True
dspense	dispense	dispensed	False
defini	defining	defining	True
wondedfu	wonderful	wonderful	True
meteoologis	meteorologist	meteorologist	True
exagnerating	exaggerating	exaggerating	True
husban	husband	husband	True
intenation	international	international	True
mihitaryr	military	military	True
parliamenpar	parliamentarian	parliamentarian	True
nulqarqo	nullarbor	nullarbor	True
sudmachic	submachine	submachine	True
peycnnta	percentage	percentage	True
ermission	permission	permission	True
ugitedstates	unitedstates	unitedstates	True
rennovated	renovated	renovated	True
accssio	accession	accession	True
urredeing	surrendering	surrendering	True
fesponsibkli	responsibility	responsibility	True
traffic	trafficked	trafficked	True
desiqgned	designed	designed	True
intnrven	intervene	intervenes	False
gramm	grammar	grammar	True
urier	courier	courier	True
ppulati	population	populations	False
emmisarries	emissaries	emissaries	True
encyclopedias	encyclopedia	encyclopedia	True
headquarytere	headquartered	headquartered	True
dfensiv	defensively	defensively	True
undesnra	undesirable	undesirable	True
steroyds	steroids	steroids	True
indvrt	inadvertent	inadvertent	True
quilibrium	equilibrium	equilibrium	True
reoublic	republicans	republican	False
alegan	allegiance	allegiance	True
omplti	completion	completion	True
interlig	intelligent	intelligent	True
opcurriq	occurring	occurring	True
exthhmel	extremely	extremely	True
dzphthon	diphthongs	diphthongs	True
definitel	definitely	definitely	True
herita	heritage	heritage	True
auilar	auxiliary	auxiliari	False
pususading	persuading	persuading	True
entrepeneur	entrepreneur	entrepreneur	True
attentio	attention	attention	True
approache	approaches	approaches	True
isprpotionate	disproportionate	disproportionate	True
lienating	alienating	atlenating	False
iithheld	withheld	withheld	True
humfnoid	humanoid	humanoid	True
cotntrig	countries	countries	True
intvrchangeac	interchangeable	interchangeable	True
difcerengtjationa	differentiations	differentiations	True
imprusonmenq	imprisonment	imprisonment	True
reident	resident	resident	True
succeedeb	succeeded	succeeded	True
pxaggera	exaggerated	exaggerated	True
cogmando	commandos	commandos	True
coapatif	compatible	compatible	True
catergoryt	category	category	True
emientl	eminently	eminently	True
volujteerinz	volunteering	volunteering	True
conditions o	conditions of	conditions of	True
gracefnl	graceful	graceful	True
aboubt it	about it	about it	True
aeadquarterso	headquarters	headquarters	True
diyagree	disagreed	disagreed	True
mosture	moisture	moisture	True
wrestzer	wrestlers	wrestlers	True
artificiw	artificial	artificial	True
ynlargem	enlargement	enlargement	True
lvailabl	available	available	True
sppleented	supplemented	supplemented	True
originag	originally	originally	True
enineer	engineer	engineeree	False
reigiou	religiously	religiously	True
achigeves	achieves	achieves	True
speehes	speeches	speeches	True
satirca	satirically	satirically	True
pport	support	support	True
measeyge	messenger	messenger	True
eparmetal	departmental	departmental	True
formost	foremost	foremost	True
convential	conventional	conventional	True
wednsda	wednesday	wednesday	True
proprietar	proprietary	proprietary	True
bilities	abilities	abilities	True
resaur	restaurant	restaurants	False
programmabl	programmable	programmable	True
refrpigerator	refrigerator	refrigerator	True
conventional	unconventional	unconventional	True
ortuue	portuguese	portuguese	True
descriptor	descriptors	descriptors	True
radioactiv	radioactive	radioactive	True
adresing	addressing	addressing	True
airportu	airports	airports	True
ligibl	eligible	eligible	True
jacqu	jacques	jacques	True
assaule	assaulted	assaulted	True
diappontin	disappointing	disappointing	True
cmmssi	commissions	commission	False
ppropriate	appropriate	appropriate	True
reqrem	requirement	requirement	True
recuzrrev	recurrence	recurrence	True
trouf	troupe	troupe	True
frsncisc	franciscans	franciscans	True
factitio	fictitious	fictitious	True
rsient	resident	residentir	False
eterna	external	external	True
pasvorald	pastoral	pastoral	True
ivination	divination	divination	True
reubic	republics	republica	False
indpedentl	independently	independently	True
guiinest	guinness	guinness	True
ithdraw	withdrawal	withdrawal	True
personal	personality	personal	False
dksakpearing	disappearing	disappearing	True
xenophoby	xenophobia	xenophobia	True
utinzerrupte	uninterrupted	uninterrupted	True
gvenme	government	government	True
fguoeesc	fluorescent	fluorescent	True
contribut	contributes	contributes	True
emanatedn	emanated	emanated	True
heleragenzou	heterogeneous	heterigeneous	False
panishad	upanishad	upanishad	True
shrategy	strategy	strategy	True
manufactuwed	manufactured	manufactured	True
ueferenc	reference	reference	True
expecially	especially	especially	True
souvdenic	souvenir	souvenir	True
preeccupatio	preoccupation	preoccupation	True
lwvitatii	levitating	levitating	True
ix spitv	in spite	in spite	True
universitiqs	universities	universities	True
exonerat	exonerate	exonerate	True
unsuprisingly	unsurprisingly	unsurprisingly	True
subequntly	subsequently	subsequently	True
belevant	relevant	relevant	True
occaaslon	occasioned	occasionad	False
exerci	exercise	exercisi	False
abbevia	abbreviate	abbreviatedy	False
symmetti	symmetric	symmetrical	False
thkromgh	thorough	thorough	True
bortifcien	abortifacient	abortifacient	True
essenc	essence	essence	True
normous	enormously	enormous	False
tomojrow	tomorrow	tomorrow	True
readmissio	readmission	readmission	True
everteless	nevertheless	nevertheless	True
thinm	think	thinks	False
hegdquar	headquarter	headquarter	True
acceleation	acceleration	acceleration	True
oplonentl	opponent	opponent	True
ompromise	compromise	compromise	True
consciousl	consciously	consciously	True
inflamatin	inflammation	inflammation	True
prselyizn	proselytizing	proselytizing	True
scenari	scenarios	scenarios	True
misepell	misspell	misspelleyeey	False
repesntati	representatives	representative	False
noticyab	noticeable	noticeable	True
giuseppey	giuseppe	giuseppe	True
morocca	moroccan	morocca	False
koddessv	goddesses	goddesses	True
disover	discover	discoveree	False
spciali	specialised	specialised	True
impeanc	impedance	impedance	True
stzenath	strength	strengthene	False
unsurpiing	unsurprisingly	unsurprising	False
commoawealth	commonwealth	commonwealth	True
iuaccessible	inaccessible	inaccessible	True
uccessi	successive	successioe	False
emper	emperor	emperar	False
artillr	artillery	artillery	True
fiaament	filament	filament	True
messagbn	messaging	messaging	True
ineficienl	inefficiently	inefficiently	True
aborigin	aborigine	aborigine	True
ippopotamus	hippopotamus	hippopotamus	True
ancestryn	ancestry	ancestry	True
referremc	reference	referrnce	False
stratmgy	strategy	strategy	True
swturday	saturdays	saturdays	True
unsurprisingl	unsurprisingly	unsurprisingly	True
univfrsities	universities	universities	True
iovember	november	november	True
quaranto	quarantine	quarantine	True
errptifa	erratically	erritically	False
nvironmentally	environmentally	environmentally	True
indffpensabl	indispensable	indispensable	True
pzoceedin	proceeding	proceedingsy	False
attenda	attendant	attendants	False
destrian	pedestrian	pedestrian	True
decfsron	decision	decision	True
govergme	government	government	True
shopkeeper	shopkeepers	shopkeepers	True
disseminatio	dissemination	dissemination	True
nhemicxl	chemically	chemically	True
posessi	possessing	possessing	True
categorize	categorized	categorized	True
gmentation	segmentation	segmentation	True
acesib	accessible	accessible	True
recepients	recipients	recipients	True
amage	damage	damage	True
contuoversie	controversies	controversies	True
rpentan	repentance	repentante	False
erratica	erratically	erratically	True
bilgualism	bilingualism	bilingualism	True
onstructio	construction	construction	True
internatioxa	international	international	True
caregie	carnegie	carnegie	True
pollinai	pollinators	pollinators	True
scentis	scientist	scientist	True
progrcmmtble	programmable	programmable	True
aacidentaaly	accidentally	accidentally	True
humorousy	humorous	humorous	True
nutrzient	nutrients	nutrients	True
marriagl	marriage	marriage	True
comisinin	commissioning	commissioning	True
separbte	separated	separated	True
costant	constantly	constantly	True
headquart	headquarter	headquarter	True
detailbd	detailed	detailed	True
obedienw	obedience	obedience	True
domionati	domination	domination	True
movemect	movement	movement	True
reparations	preparations	preparations	True
ssassinations	assassinations	assassinations	True
ifiltration	infiltration	infiltration	True
entrrpreneur	entrepreneur	entrepreneurs	False
regularily	regularly	regularly	True
sinong	singsong	singsong	True
resfaura	restaurant	restaurant	True
abumdanc	abundances	abundance	False
officiao	officials	officiall	False
flasible	feasible	feasible	True
architecht	architect	architect	True
predomiantly	predominately	predominately	True
owerful	powerful	powerful	True
spiroituaa	spiritual	spiritual	True
entreprentur	entrepreneurs	entrepreneurs	True
rratic	erratic	erratic	True
coopwerat	cooperation	cooperation	True
trynscendentp	transcendent	transcendental	False
parfobme	performed	performed	True
nasalyzatcon	nasalization	nasalization	True
icprovegmnts	improvements	improvements	True
subcategor	subcategory	subcategory	True
perform	performers	performers	True
sanction	sanctioning	sanctioneng	False
unusahle	unusable	unusable	True
miliar	familiar	familiar	True
laboyrato	laboratory	laboratory	True
clcult	calculated	calculated	True
ocmasponally	occasionally	occasionally	True
liuht yew	light years	light years	True
survivvr	survivors	survivor	False
ontinen	continental	continental	True
threshhold	threshold	threshold	True
xhibitions	exhibitions	exhibitions	True
altougeth	altogether	altogether	True
metauhysical	metaphysical	metaphysical	True
persone	personnel	personnel	True
remembrau	remembrance	remembrance	True
emorabl	memorable	memorable	True
ressqble	resembles	resembles	True
ocerwhecming	overwhelming	overwhelming	True
vegtbl	vegetables	vegetables	True
unoeknow	unbeknownst	unbeknownst	True
metapuysichl	metaphysical	metaphysical	True
undoebte	undoubtedly	undoubtedly	True
palistinians	palestinians	palestinians	True
volleba	volleyball	volleyball	True
cemebery	cemetery	cemetery	True
officia	official	officiall	False
nemotiath	negotiate	negotiate	True
orward	forward	foreard	False
ixdigeno	indigenous	indigenous	True
fulfzlle	fulfilled	fulfilled	True
fuaranti	quarantine	quarantine	True
yemelnite	yemenite	yemenite	True
inistry	ministry	ministry	True
onficial	officially	officially	True
preferrably	preferably	preferably	True
interprg	interpret	interpretor	False
orldwide	worldwide	worldwide	True
oppossti	opposition	opposition	True
popuati	populations	populations	True
axonomic	taxonomic	taxonomic	True
releiver	reliever	releever	False
exctbing	exciting	exciting	True
newsklekt	newsletters	newsletters	True
codmisoioner	commissioner	commissioner	True
disenchant	disenchanted	disenchanted	True
cantgnuo	continuous	continuous	True
interfernce	interference	interference	True
commissuonedh	commissioned	commissioned	True
govecrnme	government	government	True
emisson	emission	emission	True
aggriev	aggrieved	aggrieved	True
ccesses	successes	successes	True
catelrpyllarh	caterpillars	caterpillars	True
enormoas	enormous	enormous	True
conjectuy	conjecture	conjecture	True
unnimou	unanimous	unanimous	True
abundank	abundant	abundant	True
necoshar	necessarily	necessarily	True
assyssinatiof	assassinations	assassinations	True
concentroated	concentrated	concentrated	True
genealogk	genealogies	genealogyes	False
exihtenc	existence	existence	True
financia	financially	financially	True
condempouari	contemporaries	condemporaries	False
consciones	consciousness	consciousness	True
necssar	necessary	necessari	False
ratercillars	caterpillars	caterpillars	True
coincidyutal	coincidentally	coincidentally	True
insnctivorouo	insectivorous	insectivorous	True
excel	excels	excels	True
discsse	discussed	discussed	True
busknpss	business	business	True
likerlihos	likelihood	likelihood	True
pefrigeratio	refrigeration	refrigeration	True
allowing	allowing	allowing	True
atheniap	athenians	athenians	True
apprrval	approval	approval	True
quintessenbi	quintessential	quintessential	True
elctricall	electrically	electrically	True
appepaean	appearance	appearance	True
reiwning	reigning	reigning	True
acieement	achievements	achievements	True
contributin	contributions	contributions	True
diseminatio	dissemination	dissemination	True
invsmite	in spite	in spite	True
isposi	disposition	disposition	True
curring	occurring	rccurring	False
exchanoi	exchanging	exchanging	True
calulat	calculated	calculated	True
succewsi	succession	succession	True
averlged	averaged	averaged	True
staojles	stainless	stainless	True
hargssmev	harassments	harassments	True
rbade	forbade	forbade	True
additiono	addition	addition	True
cepartmental	departmental	departmental	True
symery	symmetry	symmetry	True
aerudfnamicsh	aerodynamics	aerodynamics	True
luarante	guaranteed	guaranteed	True
caterpilp	caterpillar	caterpillar	True
ecomen	recommend	recommend	True
headuar	headquarter	headquarter	True
approhri	appropriate	appropriate	True
speechhs	speeches	speeches	True
teginner	beginners	beginners	True
iolunteering	volunteering	volunteering	True
ommitting	committing	oommitting	False
nwield	unwieldy	unwieldy	True
vrchaeox	archaeology	archaeology	True
ovcurrin	occurring	occurring	True
constan	constantly	constant	False
pemaen	permanent	permanent	True
suffjcie	sufficient	sufficient	True
signqifie	signifies	signifies	True
distrct	districts	districts	True
connqivedw	connived	connived	True
boundery	boundary	boundary	True
millionay	millionaire	millionaire	True
jurisiictiou	jurisdiction	jurisdictionsl	False
oneliness	loneliness	loneliness	True
nonoperationa	nonoperational	nonoperational	True
dichotgm	dichotomy	dichotomy	True
peturbaion	perturbations	perturbations	True
injredib	incredible	incredible	True
budicial	judicial	judicial	True
efficie	efficiency	efficienty	False
scientifd	scientific	scientific	True
unconsciousnes	unconsciousness	unconsciousness	True
knowledging	acknowledging	acknowledging	True
recomending	recommending	recommending	True
indisputadle	indisputable	indisputable	True
gratuto	gratuitous	gratuitous	True
colaboratio	collaborations	collaborations	True
iresistibl	irresistibly	irresistible	False
omparisons	comparisons	comparisons	True
archaeolgis	archaeologists	archaeologists	True
pronauncempn	pronouncements	pronouncements	True
suktract	subtracted	subtract	False
crixicist	criticises	criticised	False
ekceptyo	exceptional	exceptional	True
aquedut	aqueduct	aqueduct	True
harhssin	harassing	harassing	True
gme boy	game boy	game boy	True
smilari	similarity	similarity	True
saophon	saxophone	saxophone	True
reffrenc	references	reference	False
restauranteurs	restaurateurs	restaurateurs	True
recmme	recommended	recommend	False
smrryund	surrounded	surrounded	True
constittio	constitution	constitution	True
lvitat	levitated	levitates	False
ocassion	occasion	occasional	False
fiohtijg	fighting	fighting	True
arrngem	arrangement	arrangement	True
electricaoly	electrically	electrically	True
opagate	propagate	propagates	False
enterbainina	entertaining	entertaining	True
commuicato	communication	communication	True
acquaintences	acquaintances	acquaintances	True
rsemle	resemble	resembled	False
oppositl	opposition	opposition	True
accrediato	accreditation	accreditation	True
ovemen	movement	movement	True
emigrat	emigrated	emigraned	False
referencj	references	references	True
obedint	obedient	obedient	True
referemces	references	references	True
smmeti	symmetric	symmetrical	False
imcompetence	incompetence	incompetence	True
streamlinin	streamlining	streamlining	True
epcyczopqdia	encyclopedia	encyclopedia	True
commission	commissions	commissione	False
copywrite	copyright	copyright	True
embarrassmn	embarrassment	embarrassment	True
miscellaaneou	miscellaneous	miscellaneous	True
snonyo	synonymous	synonymous	True
deqignvd	designed	designed	True
perphas	perhaps	perhaps	True
oardanel	dardanelles	dardanelles	True
essettia	essential	essential	True
aethei	aesthetic	aesthetic	True
regarde	regardless	regardless	True
standyrd	standards	standards	True
harasaes	harasses	harasses	True
nrighboy	neighbour	neighbour	True
techiniques	techniques	techniques	True
offwcialy	official	officially	False
announe	announced	announced	True
cognizent	cognizant	cognizent	False
cateopillbrs	caterpillars	caterpillars	True
ciremoni	ceremonial	ceremoniol	False
rrespond	correspond	correspond	True
iscuss	discuss	discusserp	False
mainiain	maintained	maintainid	False
aoticing	noticing	noticing	True
constrai	constraints	constraints	True
toroiqal	toroidal	toroidal	True
irtenrelatgd	interrelated	interrelated	True
ralised	realised	realised	True
princihl	principle	principle	True
architect	architects	architect	False
ninteen	nineteenth	nineteenth	True
cpairmand	chairman	chairman	True
usiian	musician	musician	True
cartilege	cartilage	cartilage	True
availall	available	available	True
comuarativel	comparatively	comparatively	True
fignator	signatories	signatoryes	False
phenomen	phenomena	phenomenol	False
polhgica	political	political	True
ancest	ancestry	ancest	False
eormos	enormously	enormous	False
environmentalist	environmentalist	environmentalist	True
resebble	resembles	resembles	True
libertkriani	libertarianism	libertarianism	True
eoraticad	erratically	erratically	True
aggrkssivelyb	aggressively	aggressively	True
sacrilegius	sacrilegious	sacrilegious	True
ngricult	agriculture	agriculture	True
rystaliat	crystallisation	crystallisation	True
scanwdina	scandinavia	scandinavia	True
suzcpssfully	successfully	successfully	True
hoenecian	phoenecian	phoenecian	True
cunspira	conspirator	conspirator	True
tarrorps	terrorist	tarrorist	False
rchaeo	archaeology	archaeology	True
ocodiles	crocodiles	crolodiles	False
rivileg	privileges	privilege	False
intercontanental	intercontinental	intercontinental	True
ilieux	milieux	milieux	True
dsenchanted	disenchanted	disenchanted	True
catilin	catiline	catiline	True
commissi	commissions	commission	False
qathematnical	mathematically	mathematically	True
marriae	marriage	marriage	True
dscover	discovery	discovere	False
persfade	persuades	persuades	True
flammabl	flammable	flammable	True
signbificantlq	significantly	significantly	True
multipli	multipliers	multiplieds	False
hossibil	possibility	possibility	True
membraopho	membranophone	membranophone	True
receiv	receiver	receiversy	False
diquii	daiquiri	daiquiri	True
intffduc	introduced	introduced	True
aronobncemef	pronouncements	pronouncements	True
disavpped	disappeared	disappeared	True
destiatins	destinations	destinations	True
expansto	expansion	expansion	True
imbalan	imbalance	imbalance	True
strenghtened	strengthened	strengthened	True
iterrup	interrupt	interrupt	True
roommat	roommate	roommate	True
milbgary	military	military	True
fespobsi	responsible	responsible	True
trqnscendcnc	transcendence	transcendence	True
metallugica	metallurgical	metallurgical	True
novumbert	november	november	True
consyervatixe	conservative	conservative	True
poplutin	polluting	polluting	True
reqommendatx	recommendations	recommendations	True
dosument	documentary	documentary	True
emonsratio	demonstration	demonstration	True
bergamht	bergamot	bergamot	True
metaphorial	metaphorical	metaphorical	True
culmdinaty	culminating	culminating	True
glvaniz	galvanized	galvanized	True
necessary	unnecessary	unnecessary	True
recommening	recommending	recommending	True
msogyny	misogyny	misogyny	True
disdster	disaster	disaster	True
acquaintace	acquaintances	acquaintance	False
unsuccesssful	unsuccessfully	unsuccessful	False
difficult	difficulty	difficulty	True
hienarca	hierarchies	hierarchies	True
embarraskmen	embarrassment	embarrassment	True
prefuerqe	preferred	preferred	True
aircrafu	aircraft	aircraft	True
dominiant	dominant	dominant	True
reformqs	reformist	reformist	True
membranopho	membranophone	membranophone	True
carnige	carnage	carnege	False
vounte	volunteers	volunteers	True
threzaten	threatening	threatening	True
entertainmnn	entertainment	entertainment	True
eercis	exercise	exercise	True
appearag	appearance	appearance	True
lriticis	criticisms	criticisms	True
rprisingly	surprisingly	surprisingly	True
inerference	interference	interference	True
brbadcas	broadcast	broadcast	True
armamenc	armament	armament	True
satellit	satellites	satellites	True
virutally	virtually	virtually	True
warrant	warranty	warranty	True
intrrelatd	interrelated	interrelated	True
ponswant	constantly	constantly	True
agressor	aggressor	aggressor	True
dimunitive	diminutive	diminutive	True
cjmmando	commando	commandos	False
gottleib	gottlieb	gottlieb	True
mccarthyo	mccarthyist	mccarthyist	True
consodidaged	consolidated	consolidated	True
onsciou	conscious	consciouslyss	False
vegetgbl	vegetables	vegetables	True
ciricuit	circuit	circuit	True
intergration	integration	integration	True
ackievementsh	achievements	achievements	True
llpadding	cellpadding	cellpadding	True
irrexleva	irrelevant	irrelevant	True
assocat	associated	associated	True
surprise	surprise	surprised	False
aplictions	applications	applications	True
segmentationn	segmentation	segmentation	True
enviormentally	environmentally	environmentally	True
binominal	binomial	binomial	True
nesemkle	resembles	resembles	True
dquivalj	equivalent	equivalent	True
disaqpea	disappeared	disappeared	True
conteporari	contemporaries	contemporaries	True
remire	premiere	premiered	False
compyetidiven	competitiveness	competitiveness	True
repulican	republican	republican	True
prepafatioxs	preparations	preparations	True
paryigularby	particularly	particularly	True
evenitual	eventually	eventually	True
behavior	behavior	behavior	True
tindrane	hindrance	hindrance	True
unchallwngra	unchallengeable	unchallengeable	True
ntercontinental	intercontinental	intercontinental	True
oclurren	occurrences	occurrences	True
requirem	requirement	requirement	True
carruying	carrying	carrying	True
negotiationsp	negotiations	negotiations	True
formalig	formalize	formalized	False
stuctur	structure	structure	True
guarante	guarantees	guarantees	True
suicid	suicidal	suicidel	False
ncorrutibl	incorruptible	incorruptible	True
yuxiliar	auxiliary	auxiliary	True
raligiou	religious	religious	True
tamporar	temporarily	temporarily	True
nortphern	northern	northern	True
ccordi	accordion	accordinn	False
mcnolithl	monolithic	monolithic	True
vollteyba	volleyball	volleyball	True
regagdle	regardless	regardless	True
enhanaem	enhancement	enhancement	True
commodates	accommodates	accommodates	True
somehwher	somewhere	somewhere	True
cumulativ	cumulative	cumulative	True
proces	process	processer	False
ronstrai	constraints	constraints	True
litature	literature	literature	True
phenmen	phenomenon	phenomenan	False
pedsri	pedestrian	pedestrian	True
hiercrch	hierarchies	hierarchies	True
addrezse	addresses	addressed	False
intfrreg	interregnum	interregnum	True
garantees	guarantees	guarantees	True
jorunal	journal	journal	True
robail	probability	probability	True
enviwonm	environment	environment	True
poysacchai	polysaccharide	polysaccharide	True
etimat	estimated	estimated	True
idenkica	identical	identical	True
maniaturf	miniature	miniature	True
magzine	magazine	magazine	True
emeanor	demeanor	demeanor	True
idosynras	idiosyncrasy	idiosyncrasy	True
acsuaint	acquainted	acquainted	True
loneliae	loneliness	loneliness	True
beggining	beginning	beginning	True
requtired	required	required	True
geomzetex	geometer	geometers	False
caystallisat	crystallisation	crystallisation	True
apactmel	apartments	apartments	True
rigorus	rigorous	rigorous	True
emissihn	emission	emission	True
dstinguise	distinguished	distinguished	True
confidenltial	confidential	confidentially	False
unforgetable	unforgettable	unforgettable	True
xecuting	executing	executing	True
doinc	doing	dimng	False
natmrall	naturally	naturally	True
acrditatio	accreditation	accreditation	True
recevin	receiving	receiving	True
comperit	competition	competitivn	False
artilljr	artillery	artillery	True
orgnization	organization	organization	True
becoming	becoming	becoming	True
rigovrous	rigorous	rigorous	True
terrtor	territory	territori	False
foreseeax	foreseeable	foreseeable	True
publishe	publisher	publisher	True
susceptid	susceptible	susceptible	True
appoximatl	approximately	approximately	True
hemistry	chemistry	chemistry	True
eirportsu	airports	airports	True
campain	campaign	campaign	True
undpubte	undoubtedly	undoubtedly	True
dermifsi	permissible	dermissible	False
practiteoner	practitioner	practitioner	True
corroio	corrosion	corrosion	True
semblance	resemblance	resemblance	True
fluoresc	fluorescent	fluorescent	True
ndetectble	undetectable	undetectable	True
mneuvrbil	maneuverability	maneuverability	True
horasskn	harassing	harassing	True
coenant	covenant	covenant	True
unnepess	unnecessary	unnecessary	True
symetrcal	asymmetrical	asymmetrical	True
thrjughg	throughout	throughout	True
arrnty	warranty	warranty	True
phofeqsionalb	professional	professional	True
perennia	perennially	perennially	True
republik	republican	republican	True
xclusively	exclusively	exclusively	True
pivile	privileges	privileged	False
cervic	cervical	cervical	True
rferenc	reference	reference	True
petition	repetition	pepetition	False
multiculvuralismu	multiculturalism	multiculauralism	False
extratrrstial	extraterrestrials	extraterrestrials	True
gramma	grammar	grammar	True
begrnnin	beginnings	beginning	False
pepaat	preparatory	preparatory	True
xperience	experience	experience	True
essentik	essential	essential	True
programmuble	programmable	programmable	True
maeuverabil	maneuverability	maneuverability	True
asteroih	asteroid	asteroid	True
strenghtening	strengthening	strengthening	True
intrbduc	introduce	introduced	False
dispsit	disposition	disposition	True
subcategoriec	subcategories	subcategories	True
braktrouh	breakthrough	breakthrough	True
challengf	challenge	challenge	True
rxgularz	regularly	regularly	True
ponounc	pronounced	pronounced	True
colxnnadi	colonnade	colonnade	True
ventual	eventually	eventually	True
equival	equivalent	equivalent	True
philospphtca	philosophically	philosophically	True
frequknt	frequently	frequently	True
refurrinq	recurring	recurring	True
archetect	architect	architect	True
quffernd	suffered	suffered	True
appreciak	appreciate	appreciate	True
argest	largest	largest	True
ogrammable	programmable	programmable	True
commitmen	commitments	commitments	True
propagat	propagate	propagates	False
unfosrtunatel	unfortunately	unfortunately	True
crocxdil	crocodiles	crocodiles	True
exproriatio	expropriation	expropriation	True
manuver	maneuvers	maneuvers	True
ureaucratic	bureaucratic	bureaucratic	True
liason	liaison	liaison	True
gurrill	guerrilla	guerrillas	False
deiedl	decidedly	decidedly	True
conariyu	contributes	contributed	False
neotiat	negotiation	negotiation	True
nurturtn	nurturing	nurturing	True
commite	commitments	commitments	True
shmilari	similarity	similarity	True
scietie	societies	societies	True
philjsophica	philosophically	philosophical	False
colboratio	collaborations	collaborations	True
addtion	addition	addition	True
egvironmenta	environmentally	environmental	False
opqortun	opportunity	opportunity	True
constitton	constitution	constitution	True
oltstand	outstanding	outstanding	True
paralrel	parallelly	parallelly	True
steroid	steroids	ateroids	False
carnegue	carnegie	carnegie	True
enealo	genealogy	genealogy	True
llion	million	million	True
missou	missouri	missouri	True
tomatoes	tomatoes	tomatoes	True
pefrri	preferring	preferring	True
haman	shaman	hhaman	False
teltizon	testimony	testimony	True
disutan	disputandum	disputandum	True
deiisiono	decision	decisions	False
uccession	succession	succession	True
misspel	misspelled	misspelled	True
ceedingly	exceedingly	exceddingly	False
requireme	requirement	requirement	True
compdetitions	competitions	competitions	True
ractia	practical	practically	False
aggressivel	aggressively	aggressively	True
ategoy	category	category	True
ceiving	receiving	receiving	True
aeliuved	relieved	relieved	True
gbttural	guttural	guttural	True
devqlope	developed	developed	True
runnin	running	running	True
reuildi	rebuilding	rebuilding	True
prsonal	personality	personal	False
nezfxundland	newfoundland	newfoundland	True
chemcially	chemically	chemically	True
neligiou	religious	religiously	False
althoigh	although	although	True
businnss	business	business	True
occuhrrin	occurring	occurring	True
busignass	business	business	True
ueceivar	receiver	receiver	True
resstn	resistant	resistant	True
pccurren	occurrence	occurrences	False
teritor	territories	territoryes	False
deeloe	developed	developed	True
ecplaitation	exploitation	exploitation	True
conmrovek	controversy	controversy	True
proportionax	proportional	proportional	True
occaision	occasion	occasion	True
ceevalua	reevaluated	reevaluated	True
cilculus	calculus	calculus	True
verficatio	verification	verification	True
fafiliar	familiar	familiar	True
etallurgy	metallurgy	metallurgy	True
trawsmisnsibl	transmissible	transmissible	True
unbelevble	unbelievable	unbeleevable	False
unnecessari	unnecessarily	unnecessarily	True
fdderall	federally	federally	True
uthorit	authority	authority	True
businessn	business	business	True
perpetra	perpetrated	perpetratod	False
blepsinga	blessing	blessing	True
spemaozoon	spermatozoon	spermatozoon	True
negotial	negotiation	negotiateon	False
committef	committee	committee	True
rincrnatio	reincarnation	reincarnation	True
alesti	palestinian	palestinian	True
imprvovisbtio	improvisation	improvisation	True
alophn	allophones	allophone	False
sadalo	shadaloo	shadaloo	True
circumcimsimn	circumcision	circumcision	True
automaticly	automatically	automatically	True
prfbbbilisti	probabilistic	probabilistic	True
nefits	benefits	benefits	True
avaanc	avalanche	avalanche	True
poswibikitie	possibilities	possibilities	True
discnne	disconnects	disconnects	True
phoeneci	phoenecian	phoenecian	True
rsponsibili	responsibility	responsibility	True
surprisinyly	surprisingly	surprisingly	True
resppvnsibili	responsibility	responsibility	True
acerbated	exacerbated	exacerbated	True
trnspotati	transportation	transportation	True
possesse	possessed	possesses	False
abundane	abundance	abundance	True
achizvementx	achievements	achievements	True
conspircie	conspiracies	conspiracies	True
opthalmic	ophthalmic	ophthalmic	True
qadionct	radioactive	radioactive	True
previous	previous	previous	True
exploitatio	exploitation	exploitation	True
disctinction	distinction	distinction	True
ersuade	persuaded	persuaded	True
didappro	disapproval	disapproval	True
organiaion	organization	organization	True
aestaura	restaurants	restaurants	True
countains	contains	contains	True
independjencee	independence	independence	True
possmibls	possibly	possibly	True
vlunteing	volunteering	volunteering	True
entemtainmed	entertainment	entertainment	True
